no,jp,en,slots,video,lv,note
1,すぐに終わらせますね。,I'll be quick.,,1,1,相手を待たせずに手短に済ませる時に使う定番表現。「すぐ戻る」なら I'll be right back. も自然。
2,もう少しで{x}。,I'm almost {x}.,終わります=done|準備ができます=ready|着きます=there,1,2,almost は「ほぼ完了」のニュアンス。進行中の作業や移動どちらにも使える。
3,お待たせしました。,Sorry for the wait.,,1,1,カジュアルな謝罪表現。フォーマルなら Thank you for waiting. が好印象。
4,今向かっています。,I'm on my way.,,1,1,移動中であることを一言で伝えられる万能表現。
5,少し遅れます。,I'm running late.,,1,1,約束の時間に間に合わない時の定番フレーズ。理由を添えるとより丁寧。
6,ゆっくりどうぞ。,Take your time.,,1,1,相手を急かしたくない時に使う優しい表現。
7,少し{x}ありますか？,Do you have {x}?,時間=a minute|少し時間=a second,1,2,会話の切り出しに使えるクッションフレーズ。仕事でも日常でも頻出。
8,{x}もいいですか？,Can I {x}?,一つ聞いて=ask something|ここ座って=sit here|これ借りて=borrow this,1,2,依頼・許可を丁寧に聞く基本パターン。
9,ご遠慮なく{x}ください。,Feel free to {x}.,聞いて=ask|使って=use this|参加して=join us,1,2,相手に安心感を与える表現。「自由に〜していいよ」のニュアンス。
10,どうしたんですか？,What happened?,,1,1,相手の様子がおかしい時や状況確認に使う。
11,{x}次第ですね。,It depends on {x}.,天気=the weather|交通状況=the traffic|値段=the price,1,2,即答できない時の定番。「場合による」という含みを持つ。
12,納得です（筋が通ってます）。,That makes sense.,,1,1,説明を聞いて理解できた時の自然な相槌。
13,それなら納得です（公平ですね）。,Fair enough.,,1,1,完全同意ではないが、相手の主張を認める時に使う。
14,一理ありますね。,You have a point.,,1,1,相手の意見の一部を評価する時の表現。
15,そうだと{x}。,I {x} so.,思います=suppose|思うよ=guess,1,2,控えめな同意。確信は強くない時に使う。
16,あまり{x}ないです。,I'd rather not {x}.,言いたく=say|行きたく=go|知りたく=know,1,2,やんわり断る時の大人な表現。
17,私が{x}よ。,I'll {x}.,やります=handle it|確認します=check it|直します=fix it,1,2,自分が引き受ける意思を示す時に使う。
18,{x}ありがとうございます。,Thanks for {x}.,ご理解=understanding|お待ちいただき=waiting|聞いてくれて=asking,1,2,謝罪や説明の後に添えると印象が良い。
19,{x}感謝します。,I appreciate {x}.,お気持ち=the offer|助け=your help|お時間=your time,1,2,Thanks より丁寧でフォーマル寄り。
20,気にしないで（大丈夫）。,No worries.,,1,1,謝罪された時の軽い返答。カジュアル。
21,うっかり忘れてました。,It slipped my mind.,,1,1,単なる forgot より「うっかり」のニュアンス。
22,予想外でした。,I didn't see that coming.,,1,1,全く想定していなかった出来事への反応。
23,{x}を見ましょう。,Let's see {x}.,様子=how it goes|どうなるか=what happens,1,2,今は判断せず様子を見る時に使う。
24,また連絡します。,Let's keep in touch.,,1,1,別れ際の定番フレーズ。社交辞令としても多用される。
25,また{x}で。,I'll catch you {x}.,後で=later|すぐに=soon|その時に=then,1,2,カジュアルな別れの挨拶。
26,お先にどうぞ。,Please go ahead.,,1,1,順番を譲る時や発言を促す時に使う。
27,{x}でしょう。,You must be {x}.,お疲れ=tired|お腹空いた=hungry|冗談=kidding,1,2,「〜に違いない」と相手の状態を推測する表現。
28,大丈夫ですか？（問題ない？）,Is everything all right?,,1,1,相手の体調や状況を気遣う万能表現。
29,{x}もらえますか？,Could you {x}?,説明して=explain|詳しく=elaborate|明確に=clarify,1,2,相手の説明が足りない時に丁寧に補足を求める。
30,残念ながら{x}です。,I'm afraid {x}.,そうです=so|違います=not|できません=I can't,1,2,相手の期待に沿えない時のクッション表現。
